prompt_token_count,system_prompt_length,temperature,is_few_shot,response_quality_score
129,899,0.6,0,3.27
942,1167,0.1,0,2.59
168,981,0.6,1,6.98
482,1976,0.6,1,9.91
911,397,0.3,1,5.27
979,1620,1.1,0,3.63
320,1022,1.2,0,3.71
493,1932,0.5,0,4.07
107,1450,0.9,0,4.5
543,674,0.7,0,3.09
766,1922,0.7,0,2.95
15,1638,0.8,0,4.54
133,615,0.4,0,2.72
751,579,1.1,1,7.04
103,1330,0.2,0,3.45
363,322,1.2,1,6.82
914,1938,0.3,1,7.95
955,1105,0.6,0,3.32
815,1259,1.2,0,4.41
35,959,0.4,1,6.91
671,1772,0.7,1,8.65
137,1967,1.0,1,9.51
473,121,1.5,0,3.41
816,127,0.4,0,1.62
918,1486,0.9,0,3.86